Id,abbreviation_en,abbreviation_de,Title_en,deception_rating,annotiation-and-timing,Body_region_en,body_detail_en,emotion,Variations,title_de,Description_de,Note,Deception timeframe,Cultural prevelance,Sexual prevekance,Confirming gesture,Amplfying gesture
23,Ye,Ye,vertical head shake,1,DNL,head,head,0,,Vertikales Kopfnicken  ,,,,,,,
24,Hs,Hs,head support,1,DNL,head,head,0,,Kopf abstützen  ,,,,,,,
25,Sp,Sp,surprise,1,,head,emotion,1,,Überraschung  ,,,,,,,
26,Br,Br,eye blink rate,1,,head,eye,0,,Blinzelrate  ,,,,,,,
27,Pd,Pd,pupil dilation,1.5,DNL,head,eye,0,,Pupillenerweiterung  ,,,,,,,
28,Sq,Sq,eye squint,1,DNL,head,eye,0,,Zusammenkneifen der Augen  ,,,,,,,
29,Sh,Sh,shoulder shrug,1,DNL,upperbody,arm,0,,Schulterzucken  ,,,,,,,
30,Sa,Sa,sadness,1,DNL,head,emotion,1,,Traurigkeit  ,,,,,,,
31,Dg,Dg,disgust,1,DNL,head,emotion,1,,Ekel  ,,,,,,,
32,Fr,Fr,fear,1.5,BD,head,emotion,1,,Angst  ,,,,,,,
33,Co,Co,contempt,1,DNL,head,emotion,1,,Verachtung  ,,,,,,,
34,Ag,Ag,anger,1,DNL,head,emotion,1,,Wut  ,,,,,,,
35,Pr,Pr,protecting gestures,2.5,BDA,upperbody,arms,0,,Schutzgesten  ,,,,,,,
36,Sw,Sw,swallowing,2.5,BD,head,neck,0,,Schlucken  ,,,,,,,
37,Ec,Ec,ellbow closure,3.5,BD,upperbody,arm,0,,Ellenbogen anlegen  ,,,,,,,
38,Ss,Ss,single shoulder shrug,4.0,D,upperbody,shoulder,0,,Einseitiges Schulterzucken  ,,,,,,,
39,De,De,digital extension,1,DNL,upperbody,hand,0,,Fingerstreckung  ,,,,,,,
40,Pe ,Pe ,palm exposure,1,DNL,upperbody,hand,0,,Handfläche zeigen  ,,,,,,,
41,Cs,Cs,chin stroke,1,DNL,head,chin,0,,Kinn streicheln  ,,,,,,,
42,Pc,Pc,pupil constrction,1,DNL,head,eye,0,,Pupillenverengung  ,,,,,,,
43,Eo,Eo,ellbows out ,1,,upperbody,arm,0,,Ellenbogen nach außen  ,,,,,,,
44,Ps,Ps,posture,1,,body,body,0,,Haltung  ,,to be observed to determined baseline behavior,,,,,
45,No,No,horizontal head shake,1,DNL,head,head,0,,Kopfschütteln (horizontal)  ,,,,,,,
46,Lf,Lf,locked fingers,1,DNL,upperbody,hand,0,,Verschränkte Finger  ,,,,,,,
47,St,St,steepling,1.5,DNL,upperbody,hand,0,,Fingerspitzen aneinanderlegen („Kirchenturm“)  ,,,,,,,
48,Bh,Bh,behind head,1.5,DNL,upperbody,arm,0,,Hände hinter dem Kopf  ,,,,,,,
49,Ah,Ah,arms on hips,1.5,DNL,upperbody,"arm,hip",0,,Arme in die Hüften  ,,,,,,,
50,Shg,Shg,self hug ,1.5,DNL,upperbody,arm,0,,Selbstumarmung  ,,,,,,,
51,Bb,Bb,arms behind back,1.5,DNL,upperbody,arm,0,,Arme hinter dem Rücken  ,,,,,,,
52,Cr,Cr,constantly raised shoulders,2,BD,upperbody,shoulder,0,,Dauerhaft angehobene Schultern  ,,,,,,,
53,Wp,Wp,single arm wrap,2.5,BD,upperbody,arm,0,,Einarmige Umarmung  ,,,,,,,
54,Fz,Fz,freeze,3.5,BD,body,body,0,,Erstarren  ,,,,,,,
55,Ft,Ft,facial touching,4,DA,upperbody,hand,0,,Gesicht berühren  ,,,,,,,
56,Ttc,Ttc,throat clasping,4.0,DA,head,neck,0,,Hals umfassen  ,,,,,,,
57,Ia,Ia,arms in air,2,DNL,upperbody,arm,0,,Arme in die Höhe  ,,,,,,,
58,4,4,Figure-four leg cross,1,DNL,lowerbody,leg,0,,Vierer-Beinüberschlag  ,,,,,,,
59,Tlt,Tlt,pelvic tilt,2,,lowerbody,pelvis,0,,Becken kippen  ,,,,,,,
60,Ff,Ff,pelvic facing,2,,lowerbody,pelvis,0,,Becken zuwenden  ,,,,,,,
61,Po,Po,hands in pockest,2,,upperbody,hand,0,,Hände in den Taschen  ,,,,,,,
62,Tch,Tch,chest touching,2,DBA,upperbody,hand,0,,Brust berühren  ,,,,,,,
63,Dc,Dc,double-leg cross,2,B~D,lowerbody,leg,0,,Doppelte Beinkreuzung  ,,,,,,,
64,Tp,Tp,tapping,2.5,DA,upperbody,hand,0,,Klopfen  ,,,,,,,
65,Fi,Fi,fidgeting,2,BD,upperbody,hand,0,,Zappeln  ,,,,,,,
66,Grs,Grs,Two-handed grasping,2,BDA,upperbody,hand,0,,Zweihändiges Greifen  ,,,,,,,
67,Bon,Bon,hands on back of the neck,2.5,BDA,upperbody,hand,0,,Hände im Nacken  ,,,,,,,
68,Lp,Lp,lint picking,2.5,BA,upperbody,hand,0,,Flusen abstreifen  ,,,,,,,
69,Wf,Wf,wrist to forehead,2.5,DA,head,face,0,,Handgelenk an die Stirn  ,,,,,,,
70,Ba,Ba,barrier gesture,3,B,"upperbody,lowerbody","arm,leg",0,,Barriere-Geste  ,,,,,,,
71,Bc,Bc,barrier cross,3,DBA,behaviour,,0,,Arme als Barriere verschränken  ,,,,,,,
72,Pdn,Pdn,palms down,3,DA,upperbody,hand,0,,Handflächen nach unten  ,,,,,,,
73,Gpr,Gpr,genital protection,4,BDA,lowerbody,groin,0,,Genitalschutz  ,,,,,,,
74,Hu,Hu,hushing,4.0,BDA,head,"mouth,hand",0,hush voice by hand or object,Beschwichtigungsgeste („pssst“)  ,,,,,,,
75,Ge,Ge,groin exposure,1,DNL,lowerbody,groin,0,,Schritt zeigen  ,,,,,,,
76,Lg,Lg,leg crossing,1,DNL,head,leg,0,,Beine überschlagen  ,,,,,,,
77,Agg,Agg,toes upward pointing,1,DNL,head,foot,0,,Zehen nach oben  ,,,,,,,
78,Bre,Bre,breathing rate,V-1/3.5,,upperbody,chest,0,,Atemfrequenz  ,,,,,,,
79,Fc,Fc,torso facing,V-2.0,,upperbody,chest,0,,Oberkörper zuwenden  ,,,,,,,
80,Pt,Pt,posture tilt,V 2.0,,upperbody,chest,0,,Haltungsneigung  ,,,,,,,
81,Kh,Kh,knee hugging,1.5,B,upperbody,knee,0,,Knie umfassen  ,,,,,,,
82,Df,Df,digital flexion,2,BDA,upperbody,hand,0,,Fingerbeugung  ,,,,,,,
83,Bi,Bi,binding legs,2,DA,lowerbody,leg,0,,Beine zusammenpressen  ,,,,,,,
84,La,La,locked ankle,2,BD,lowerbody,leg,0,,Knöchel verschränken  ,,,,,,,
85,Gm,Gm,grooming gestures,2,A,upperbody,hand,0,,Körperpflegegesten  ,,,,,,,
86,Thc,Thc,clasping th things,2,B,upperbody,hand,0,,Etwas festhalten  ,,,,,,,
87,Wt,Wt,wrist touching,2,D,upperbody,hand,0,,Handgelenk berühren  ,,,,,,,
88,Ip,Ip,inward toe pointing,2,BA,lowerbody,foot,0,,Zehen nach innen  ,,,,,,,
89,Er,Er,eyelid rubbing,2.5,BDA,head,eye,0,,Augenlid reiben  ,,,,,,,
90,Kc,Kc,knee clasp,2.5,A,lowerbody,knee,0,,Knie umschließen  ,,,,,,,
91,Fw,Fw,foot withdrawel,3.5,BA,lowerbody,leg,0,,Fuß zurückziehen  ,,,,,,,
92,Fns,Fns,finger to nose,4.0,BD,upperbody,hand,0,,Finger an die Nase  ,,,,,,,
93,Opi,Opi,interaction with other’s property,1,DNL,behaviour,object,0,,Mit fremdem Besitz interagieren  ,,,,,,,
94,Oi,Oi,object interaction,1,DNL,behaviour,object,0,,Mit Objekten spielen  ,,,,,,,
95,Sr,Sr,shoe removal,1,DNL,lowerbody,foot,0,,Schuhe ausziehen  ,,,,,,,
96,Bc,Bc,belonging carelessmess,1,DNL,behaviour,clothing,0,,Nachlässiger Umgang mit Dingen  ,,,,,,,
97,Wc,Wc,watch checking,1,DNL,behaviour,object,0,,Auf die Uhr schauen  ,,,,,,,
98,Jb,Jb,jacket buttoning,1.5,DNL,behaviour,clothing,0,,Jacke zuknöpfen  ,,,,,,,
99,Cc,Cc,clothing covering,1.5,DNL,behaviour,clothing,0,,Kleidung zurechtrücken  ,,,,,,,
100,Pb,Pb,object barrier,2.0,DNL,behaviour,object,0,,Gegenstand als Barriere  ,,,,,,,
101,Ca,Ca,chair arms,2,BDA,upperbody,arm,0,,Armlehnen benutzen  ,,,,,,,
102,Gs,Gs,groin shield,2,BDA,lowerbody,groin,0,,Schutz des Schritts  ,,,,,,,
103,Ps,Ps,personal belonging security check,2,BDA,behaviour,object,0,,Persönliche Gegenstände überprüfen  ,,,,,,,
104,Ftb,Ftb,fists on table,2.5,DA,upperbody,hand,0,,Fäuste auf den Tisch  ,,,,,,,
105,Oc,Oc,object concealment,3,BDA,behaviour,object,0,,Gegenstand verbergen  ,,,,,,,
106,Jp,Jp,jewelry play,3.5,BA,upperbody,hand,0,,Mit Schmuck spielen  ,,,,,,,
107,Cl,Cl,feet around chair legs,4,BDA,lowerbody,leg,0,,Füße um Stuhlbeine legen  ,,,,,,,
108,Hes,Hes,voice hesitancy,4,D,speach,verbal,0,,Zögerliche Stimme  ,"Wenn jemand vor dem Sprechen zögert, bedeutet dies in der Regel eine Zeitspanne. Diese erlaubt den Sprechern ihre Geschichte zu prüfen, BEVOR sie diese wirklich laut äussern. Dies zeigt sich darin, dass zwsichen Frage und Antwort eine Pause entsteht.",,,,,,
109,Psd,Psd,psychological distancing,4,D,speach,verbal,0,,Psychologische Distanzierung  ,"Dies tritt auf, wenn ein Sprecher ein Verbrechen mit Worten beschönigt. Aus „ermorden“ wird „sterben“; aus „verprügeln“ wird „Hand anlegen, aus „stehlen“ wird „nehmen“, aus „Sex“ wird „Beziehung“, aus „belästigen“ wird „berühren.“ dies ist ein häufiges Verhalten. Es dient dazu, die Schuld des Sprechers zu mindern. Der Interviewer kann dies gezielt einsetzen, um den Sprecher weiter zu beeinflussen und zur Öffnung / Wahrheit zu bewegen. Dadurch wird Stress beim Sprecher abgebaut.",,,,,,
110,Rip,Rip,rising vocal pitch,4,D,speach,voice,0,,Steigende Stimmlage  ,"Aus der  Stress und Angst bei der Vernehmung zu versagen, bilden sich Spannungen auch im Stimmapparat. Dadurch steigt die Höhe der Stimme an. Diese ist - natürlich wie immer – i, Verhältnis zur Baseline zu sehen.",,,,,,
111,Spd,Spd,increas in vocal speed,4,D,speach,voice,0,,Schnellere Sprachgeschwindigkeit  ,Mit einem schnelleren Sprechen versucht der Sprecher über empfindliche Stellen in der Geschichte hinwegzubürsten. Schnelle Sprache kann man nur in Verbindung mit einer bereits ermittelten Baseline befinden.,,,,,,
112,NA,NA,non answer statemend,4,D,speach,verbal,0,,Ausweichende Antwort  ,,,,,,,
113,Prn,Prn,pronoun absence,4,D,speach,verbal,0,,Fehlende Pronomen  ,,,,,,,
114,Res,Res,résumé statement,4,D,speach,verbal,0,,Zusammenfassende Aussage  ,,,,,,,
115,Nc,Nc,noncontracting statement,4,D,speach,verbal,0,,Aussage ohne Bindung  ,,,,,,,
116,Qr,Qr,question reversal,4,D,speach,verbal,0,,Frage zurückgeben  ,,,,,,,
117,An,An,ambiguity statement,4,D,speach,verbal,0,,Mehrdeutige Aussage  ,,,,,,,
118,Pol,Pol,politeness,4,D,speach,verbal,0,,Höflichkeit  ,,,,,,,
119,Oa,Oa,overapologizing,4,DA,speach,verbal,0,,Übertriebenes Entschuldigen  ,,,,,,,
120,Mc,Mc,miniconfessions,4,D,speach,verbal,0,,Kleine Geständnisse  ,,,,,,,
121,Exc,Exc,exclusions,4,D,speach,verbal,0,,Ausschlüsse  ,,,,,,,
122,Chr,Chr,direct chronology,4,D,speach,verbal,0,,Direkte Chronologie  ,,,,,,,
